PetID,UserID,PetName,Level,LevelUpTime,Experience,Hunger,Mood,Stamina,Cleanliness,Health,SkinColor,SkinColorChangedTime,BackgroundColor,BackgroundColorChangedTime,PointsChanged_SkinColor,PointsChanged_BackgroundColor,PointsGained_LevelUp,PointsGainedTime_LevelUp,IsDeleted,DeletedAt,DeletedBy,DeleteReason,CurrentExperience,ExperienceToNextLevel,TotalPointsGained_LevelUp
-----,------,-------,-----,-----------,----------,------,----,-------,-----------,------,---------,--------------------,---------------,--------------------------,-----------------------,-----------------------------,--------------------,------------------------,---------,---------,---------,------------,-----------------,---------------------,-------------------------
1,10000001,多多,4,2024-04-11 07:10:55.0000000,656,14,58,89,25,100,#FFFF00,2023-02-22 09:10:06.0000000,BG005,2025-04-09 17:03:40.0000000,2000,2500,10,2023-07-11 20:53:18.0000000,0,NULL,NULL,NULL,53,220,40
2,10000002,喵喵2,38,2023-08-08 23:34:25.0000000,4019,75,25,57,54,94,#800080,2024-12-11 04:53:18.0000000,BG008,2024-08-25 17:19:48.0000000,3500,4000,40,2023-07-03 10:24:44.0000000,0,NULL,NULL,NULL,649,1535,920
3,10000003,球球,19,2024-07-28 14:56:34.0000000,2947,58,51,76,70,78,#800080,2024-07-04 14:18:35.0000000,BG002,2023-10-07 12:09:25.0000000,3500,0,20,2024-02-28 22:27:22.0000000,0,NULL,NULL,NULL,28,668,280
4,10000004,熊大,39,2023-12-06 01:39:38.0000000,4377,76,44,67,56,89,#FFFFFF,2024-07-07 16:31:08.0000000,BG003,2023-10-05 16:34:06.0000000,0,0,40,2024-10-12 14:50:22.0000000,0,NULL,NULL,NULL,427,1596,960
5,10000005,Milo,44,2025-06-14 15:10:14.0000000,7209,55,33,61,31,83,#6F4E37,2024-02-18 08:31:12.0000000,BG009,2023-08-08 00:35:23.0000000,3500,4500,50,2024-01-11 07:55:38.0000000,0,NULL,NULL,NULL,317,1928,1200
6,10000006,喵喵,20,2024-04-27 06:22:59.0000000,2723,87,95,10,97,91,#FFFFFF,2024-12-15 20:32:40.0000000,BG010,2023-05-18 01:49:24.0000000,0,6000,20,2024-11-10 01:05:34.0000000,0,NULL,NULL,NULL,35,700,300
7,10000007,布丁,38,2024-12-30 23:31:48.0000000,3265,57,47,64,39,45,#FFFFFF,2025-02-09 04:09:17.0000000,BG005,2023-06-15 23:12:57.0000000,0,2500,40,2025-03-21 19:03:06.0000000,0,NULL,NULL,NULL,1311,1535,920
8,10000008,小黃Rocky,46,2024-06-20 05:09:58.0000000,4490,52,29,18,25,27,#800080,2023-11-13 05:21:08.0000000,BG008,2025-04-20 11:44:45.0000000,3500,4000,50,2024-06-01 01:44:18.0000000,0,NULL,NULL,NULL,671,2072,1300
9,10000009,布丁,8,2024-01-07 13:29:45.0000000,998,90,89,29,63,39,#00FFFF,2025-06-22 22:06:33.0000000,BG004,2023-10-03 12:53:00.0000000,2000,2000,10,2023-03-31 15:13:38.0000000,0,NULL,NULL,NULL,288,380,80
