Manager_Id|ManagerRole_Id
----------|--------------
30000001|1
30000002|2
30000003|3
30000004|4
30000005|5
30000006|6
30000007|7
30000008|8
30000009|4
30000010|2
30000011|3
30000012|4
30000013|5
30000014|6
30000015|7
30000016|8
30000017|6
30000018|2
30000019|3
30000020|4
30000021|5
30000022|6
30000023|7
30000024|8
30000025|6
30000026|6
30000027|7
30000028|8
30000029|5
30000030|6
30000031|7
30000032|8
30000033|7
30000034|6
30000035|6
30000036|4
30000037|5
30000038|6
30000039|7
30000040|8
30000041|5
30000042|5
30000043|3
30000044|5
30000045|5
30000046|5
30000047|5
30000048|5
30000049|5
30000050|5
30000051|5
30000052|3
30000053|5
30000054|5
30000055|5
30000056|5
30000057|5
30000058|3
30000059|5
30000060|5
30000061|5
30000062|6
30000063|7
30000064|8
30000065|5
30000066|4
30000067|5
30000068|4
30000069|5
30000070|6
30000071|7
30000072|8
30000073|4
30000074|5
30000075|4
30000076|4
30000077|5
30000078|6
30000079|7
30000080|8
30000081|5
30000082|6
30000083|7
30000084|4
30000085|5
30000086|6
30000087|7
30000088|8
30000089|8
30000090|6
30000091|7
30000092|4
30000093|5
30000094|6
30000095|7
30000096|8
30000097|7
30000098|6
30000099|2
30000100|8
30000101|5
30000102|6

(102 個受影響的資料列)
